CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Raça Cor;Sexo Trabalhador;uf;valor_remuneracao_media
47113;04;01;28;09;01;14;0
41204;07;01;54;08;01;14;1148.28
41204;05;01;30;02;01;14;1153.97
41204;06;01;49;09;01;14;10925.37
90019;06;01;48;99;01;14;1719.69
01393;05;01;37;08;01;14;1732.23
47113;05;01;39;08;01;14;1213.41
47113;06;01;43;08;01;14;1585.38
82997;05;01;38;08;01;14;1128.47
47113;06;01;49;08;01;14;1449.83
47113;05;01;33;02;01;14;1167.8
41204;06;01;47;08;01;14;1664.45
47113;03;01;24;08;01;14;1604.9
56112;04;01;25;08;01;14;1459.39
01393;06;01;48;08;01;14;1122.55
47113;03;01;21;02;01;14;1565.96
41204;05;01;38;08;01;14;2469.27
47113;05;01;34;08;01;14;1673.58
01393;07;01;50;08;01;14;1219.06
47113;04;01;29;02;01;14;998.61
47113;03;01;21;02;01;14;1343.08
47113;03;01;24;09;01;14;1248.74
47113;04;01;25;09;01;14;1284.66
47113;03;01;19;08;01;14;1492.44
96033;06;01;42;08;01;14;1648.93
96033;04;01;27;08;01;14;1357.05
96033;05;01;38;08;01;14;1277.44
96033;07;01;50;02;01;14;1597.77
96033;05;01;33;08;01;14;1895.42
96033;04;01;28;02;01;14;3384.8
96033;06;01;42;08;01;14;1346.62
96033;05;01;37;08;01;14;3216.84
96033;03;01;19;08;01;14;1701.15
47237;07;01;60;08;01;14;1945.83
75001;06;01;40;08;01;14;1255.97
42138;06;01;48;09;01;14;1626.22
42138;05;01;35;09;01;14;1589.28
42138;06;01;42;09;01;14;2876.76
42138;07;01;57;04;01;14;1330.82
45200;05;01;36;09;01;14;1763.44
47318;05;01;37;08;01;14;1779.54
80111;06;01;46;08;01;14;1781.34
47318;03;01;21;08;01;14;1954.67
49248;05;01;38;08;01;14;2503.13
47814;03;01;21;08;01;14;1289.07
42111;07;01;56;02;01;14;1606.92
42111;07;01;59;08;01;14;1869.3
42111;07;01;52;08;01;14;2294.91
47113;03;01;23;09;01;14;1348.68
47113;03;01;19;08;01;14;1285.13
47113;03;01;22;08;01;14;1429.6
47318;03;01;24;09;01;14;1764.11
46346;04;01;29;08;01;14;2643.22
47814;03;01;21;08;01;14;1069.64
49302;07;01;55;09;01;14;1239.21
49213;03;01;23;08;01;14;1808.9
49213;07;01;50;08;01;14;1505.5
